1.896000000000000000e+03,4.470833333333329662e+00
1.900000000000000000e+03,4.464729259811229589e+00
1.904000000000000000e+03,5.222083333333330302e+00
1.908000000000000000e+03,4.154678674408500250e+00
1.912000000000000000e+03,3.903316749585409973e+00
1.920000000000000000e+03,3.569512670565300194e+00
1.924000000000000000e+03,3.824544772287400196e+00
1.928000000000000000e+03,3.624837066003080199e+00
1.932000000000000000e+03,3.592842753880789886e+00
1.936000000000000000e+03,3.538807915629810008e+00
1.948000000000000000e+03,3.670103092783500109e+00
1.952000000000000000e+03,3.390291108741160020e+00
1.956000000000000000e+03,3.436426116838489975e+00
1.960000000000000000e+03,3.205830074653400086e+00
1.964000000000000000e+03,3.132756645732119871e+00
1.968000000000000000e+03,3.328198443733460188e+00
1.972000000000000000e+03,3.135837579492040117e+00
1.976000000000000000e+03,3.078958802385749927e+00
1.980000000000000000e+03,3.105818224908159841e+00
1.984000000000000000e+03,3.065529091124540084e+00
1.988000000000000000e+03,3.093573488170000108e+00
1.992000000000000000e+03,3.161117035983730172e+00
1.996000000000000000e+03,3.142552435122639931e+00
2.000000000000000000e+03,3.085278666508670220e+00
2.004000000000000000e+03,3.102658292846700139e+00
2.008000000000000000e+03,2.998775526326180163e+00
2.012000000000000000e+03,3.033929770509930179e+00
